"Table with row headers in column A and column headers in rows 5, 58, 111, 164, 217, 270, 323, 376, 429, 482, 535, 588, 641, 694, 747, 800, 853, 906, 959, 1012, 1065, 1118, 1171, 1224, 1277, 1330, 1383, 1436, 1489, 1542, 1595, 1648, 1701, 1754, 1807, 1860, 1913, 1966, 2019, 2072, 2125, 2178, 2231, 2284, 2337, and 2390",,,,,
Table 19. Number of Poor and Poverty Rate by State: 1980 to 2023,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar24.pdf>)",,,,,
2023,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Louisiana,"4,519",761,105,16.9,2.3
Maine,"1,381",133,30,9.6,2.1
Maryland,"6,202",535,127,8.6,2.0
Massachusetts,"6,860",658,96,9.6,1.4
Michigan,"9,961","1,206",170,12.1,1.7
Minnesota,"5,626",427,97,7.6,1.7
Mississippi,"2,881",531,83,18.4,2.8
Missouri,"6,057",693,101,11.4,1.7
Montana,"1,119",117,20,10.4,1.7
Nebraska,"1,946",154,45,7.9,2.3
Nevada,"3,170",380,83,12.0,2.6
New Hampshire,"1,385",115,26,8.3,1.9
New Jersey,"9,151",799,162,8.7,1.8
New Mexico,"2,113",427,89,20.2,4.1
New York,"19,490","2,480",287,12.7,1.5
North Carolina,"10,740","1,525",200,14.2,1.9
North Dakota,764,74,15,9.7,2.0
Ohio,"11,620","1,154",171,9.9,1.5
Oklahoma,"3,948",665,108,16.9,2.7
Oregon,"4,230",419,89,9.9,2.1
Pennsylvania,"12,740","1,383",207,10.9,1.6
Rhode Island,"1,069",90,24,8.4,2.2
South Carolina,"5,262",677,120,12.9,2.2
South Dakota,886,80,19,9.1,2.1
Tennessee,"7,010",736,168,10.5,2.4
Texas,"29,920","4,031",310,13.5,1.0
Utah,"3,338",200,47,6.0,1.4
Vermont,641,58,12,9.0,1.8
Virginia,"8,489",704,132,8.3,1.6
Washington,"7,705",696,129,9.0,1.7
West Virginia,"1,746",270,31,15.5,1.8
Wisconsin,"5,807",386,80,6.6,1.4
Wyoming,562,40,7,7.1,1.3
2021,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,961",787,78,15.9,1.6
Alaska,712,81,19,11.4,2.6
Arizona,"7,303",922,144,12.6,2.0
Arkansas,"2,981",502,55,16.8,1.9
California,"38,770","4,615",284,11.9,0.7
Colorado,"5,724",455,103,7.9,1.8
Connecticut,"3,553",285,70,8.0,1.9
Delaware,996,117,23,11.7,2.3
District of Columbia,650,91,14,14.0,2.2
Florida,"21,650","2,721",283,12.6,1.3
Georgia,"10,670","1,490",226,14.0,2.1
Hawaii,"1,427",156,29,10.9,2.0
Idaho,"1,905",177,33,9.3,1.7
Illinois,"12,460","1,339",192,10.7,1.5
Indiana,"6,778",704,101,10.4,1.5
Iowa,"3,182",309,48,9.7,1.5
Kansas,"2,891",206,61,7.1,2.1
Kentucky,"4,459",725,114,16.2,2.6
Louisiana,"4,519",830,107,18.4,2.4
Maine,"1,354",123,31,9.1,2.2
Maryland,"6,095",469,100,7.7,1.7
Massachusetts,"6,841",522,83,7.6,1.2
Michigan,"9,842","1,147",179,11.7,1.9
Minnesota,"5,532",382,99,6.9,1.8
Mississippi,"2,913",506,64,17.4,2.2
Missouri,"6,046",742,168,12.3,2.8
Montana,"1,114",120,20,10.7,1.8
Nebraska,"1,970",159,38,8.1,1.9
Nevada,"3,089",397,70,12.8,2.2
New Hampshire,"1,390",96,23,6.9,1.7
New Jersey,"9,220",698,123,7.6,1.3
New Mexico,"2,097",377,56,18.0,2.7
New York,"19,350","2,428",231,12.5,1.2
North Carolina,"10,600","1,249",137,11.8,1.3
North Dakota,760,65,11,8.5,1.5
Ohio,"11,740","1,364",185,11.6,1.6
Oklahoma,"3,904",589,85,15.1,2.2
Oregon,"4,220",389,85,9.2,2.0
Pennsylvania,"12,640","1,362",196,10.8,1.5
Rhode Island,"1,087",102,27,9.4,2.5
South Carolina,"5,214",713,101,13.7,2.0
South Dakota,884,74,20,8.4,2.3
Tennessee,"6,958",740,125,10.6,1.8
Texas,"29,390","3,977",341,13.5,1.2
Utah,"3,333",264,56,7.9,1.7
Vermont,631,47,10,7.5,1.6
Virginia,"8,489",831,139,9.8,1.6
Washington,"7,670",587,135,7.7,1.8
West Virginia,"1,754",296,35,16.9,2.1
Wisconsin,"5,910",551,115,9.3,1.9
Wyoming,568,53,12,9.4,2.1
2020 (2),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"5,001",744,139,14.9,2.8
Alaska,708,95,16,13.4,2.2
Arizona,"7,203",783,122,10.9,1.7
Arkansas,"2,974",420,56,14.1,1.8
California,"39,200","4,332",302,11.1,0.8
Colorado,"5,717",546,144,9.5,2.5
Connecticut,"3,545",396,80,11.2,2.3
Delaware,991,104,22,10.5,2.2
District of Columbia,680,114,14,16.8,2.0
Florida,"21,510","2,854",267,13.3,1.2
Georgia,"10,560","1,399",210,13.3,2.0
Hawaii,"1,427",155,30,10.9,2.1
Idaho,"1,862",170,27,9.1,1.4
Illinois,"12,640","1,010",130,8.0,1.0
Indiana,"6,685",807,127,12.1,1.9
Iowa,"3,163",290,78,9.2,2.5
Kansas,"2,891",267,79,9.3,2.7
Kentucky,"4,454",621,108,13.9,2.4
Louisiana,"4,545",704,70,15.5,1.6
Maine,"1,366",109,31,8.0,2.3
Maryland,"6,077",569,108,9.4,1.8
Massachusetts,"6,943",586,92,8.4,1.3
Michigan,"9,891","1,112",138,11.2,1.4
Minnesota,"5,602",476,94,8.5,1.7
Mississippi,"2,937",516,92,17.6,3.1
Missouri,"6,044",647,112,10.7,1.8
Montana,"1,080",118,17,10.9,1.6
Nebraska,"1,953",162,27,8.3,1.3
Nevada,"3,123",404,67,12.9,2.1
New Hampshire,"1,387",87,21,6.2,1.5
New Jersey,"9,119",744,134,8.2,1.5
New Mexico,"2,064",343,40,16.6,2.0
New York,"19,580","2,313",213,11.8,1.1
North Carolina,"10,410","1,441",169,13.8,1.6
North Dakota,761,81,14,10.7,1.8
Ohio,"11,700","1,487",195,12.7,1.7
Oklahoma,"3,885",604,97,15.5,2.5
Oregon,"4,114",387,55,9.4,1.3
Pennsylvania,"12,690","1,352",221,10.7,1.7
Rhode Island,"1,086",93,21,8.5,2.0
South Carolina,"5,110",684,110,13.4,2.2
South Dakota,878,102,49,11.6,5.6
Tennessee,"6,934",912,106,13.1,1.5
Texas,"28,920","4,057",315,14.0,1.1
Utah,"3,272",242,61,7.4,1.9
Vermont,639,55,10,8.6,1.6
Virginia,"8,501",663,121,7.8,1.4
Washington,"7,585",625,127,8.2,1.6
West Virginia,"1,760",249,53,14.2,3.0
Wisconsin,"5,836",466,105,8.0,1.8
Wyoming,561,55,11,9.7,1.9
2019,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,873",627,117,12.9,2.5
Alaska,701,72,13,10.2,1.9
Arizona,"7,285",725,151,9.9,2.1
Arkansas,"2,915",412,59,14.1,2.1
California,"39,370","3,980",295,10.1,0.7
Colorado,"5,768",535,139,9.3,2.5
Connecticut,"3,490",291,62,8.3,1.8
Delaware,971,63,18,6.5,1.8
District of Columbia,702,88,13,12.5,1.8
Florida,"21,400","2,455",247,11.5,1.2
Georgia,"10,350","1,249",187,12.1,1.8
Hawaii,"1,365",115,28,8.4,2.1
Idaho,"1,794",127,25,7.1,1.4
Illinois,"12,500","1,160",160,9.3,1.3
Indiana,"6,691",677,112,10.1,1.7
Iowa,"3,137",298,57,9.5,1.8
Kansas,"2,813",266,48,9.5,1.7
Kentucky,"4,399",599,119,13.6,2.6
Louisiana,"4,563",816,99,17.9,2.1
Maine,"1,340",140,36,10.4,2.7
Maryland,"6,067",424,107,7.0,1.8
Massachusetts,"6,897",521,86,7.5,1.3
Michigan,"9,901","1,007",168,10.2,1.7
Minnesota,"5,681",322,76,5.7,1.3
Mississippi,"2,911",560,96,19.2,3.4
Missouri,"6,063",568,163,9.4,2.8
Montana,"1,053",102,12,9.7,1.2
Nebraska,"1,885",165,37,8.7,1.9
Nevada,"3,105",323,49,10.4,1.6
New Hampshire,"1,351",49,15,3.7,1.1
New Jersey,"8,738",554,105,6.3,1.2
New Mexico,"2,058",315,38,15.3,1.8
New York,"19,070","2,382",235,12.5,1.2
North Carolina,"10,470","1,324",158,12.7,1.5
North Dakota,749,61,10,8.1,1.4
Ohio,"11,510","1,424",194,12.4,1.7
Oklahoma,"3,899",422,72,10.8,1.8
Oregon,"4,135",336,72,8.1,1.8
Pennsylvania,"12,550","1,092",149,8.7,1.2
Rhode Island,"1,047",96,22,9.2,2.1
South Carolina,"5,144",775,98,15.1,1.9
South Dakota,860,91,19,10.6,2.2
Tennessee,"6,721",879,185,13.1,2.7
Texas,"28,670","3,174",288,11.1,1.0
Utah,"3,232",236,76,7.3,2.4
Vermont,615,53,12,8.6,1.9
Virginia,"8,335",737,125,8.8,1.5
Washington,"7,549",527,105,7.0,1.4
West Virginia,"1,745",242,34,13.9,1.9
Wisconsin,"5,730",479,92,8.4,1.6
Wyoming,565,52,14,9.2,2.5
2018,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,877",779,107,16.0,2.1
Alaska,720,94,15,13.1,2.0
Arizona,"7,241",929,132,12.8,1.8
Arkansas,"2,912",462,63,15.9,2.1
California,"39,150","4,664",303,11.9,0.8
Colorado,"5,739",521,84,9.1,1.5
Connecticut,"3,413",348,71,10.2,2.1
Delaware,976,72,15,7.4,1.6
District of Columbia,692,102,13,14.7,1.8
Florida,"21,120","2,883",285,13.7,1.3
Georgia,"10,420","1,548",189,14.8,1.8
Hawaii,"1,393",128,26,9.2,1.8
Idaho,"1,766",202,41,11.5,2.3
Illinois,"12,590","1,292",214,10.3,1.6
Indiana,"6,582",761,112,11.6,1.6
Iowa,"3,110",277,49,8.9,1.6
Kansas,"2,835",212,44,7.5,1.5
Kentucky,"4,445",696,125,15.7,2.8
Louisiana,"4,510",858,63,19.0,1.5
Maine,"1,321",153,31,11.6,2.3
Maryland,"6,030",480,82,8.0,1.3
Massachusetts,"6,883",601,97,8.7,1.5
Michigan,"9,913","1,036",128,10.5,1.3
Minnesota,"5,746",456,77,7.9,1.3
Mississippi,"2,899",567,44,19.6,1.5
Missouri,"6,026",745,133,12.4,2.3
Montana,"1,041",107,20,10.3,2.0
Nebraska,"1,893",199,41,10.5,2.1
Nevada,"3,008",390,61,13.0,2.0
New Hampshire,"1,349",82,18,6.1,1.3
New Jersey,"8,790",725,107,8.2,1.2
New Mexico,"2,054",342,44,16.6,2.1
New York,"19,340","2,145",181,11.1,1.0
North Carolina,"10,370","1,355",158,13.1,1.5
North Dakota,745,72,15,9.7,2.0
Ohio,"11,450","1,365",189,11.9,1.6
Oklahoma,"3,858",518,79,13.4,2.0
Oregon,"4,172",404,74,9.7,1.8
Pennsylvania,"12,520","1,476",204,11.8,1.6
Rhode Island,"1,036",92,25,8.9,2.3
South Carolina,"5,036",642,74,12.8,1.5
South Dakota,853,90,13,10.6,1.5
Tennessee,"6,665",800,120,12.0,1.8
Texas,"28,500","3,894",285,13.7,1.0
Utah,"3,173",219,61,6.9,2.0
Vermont,616,60,12,9.7,1.8
Virginia,"8,393",821,141,9.8,1.6
Washington,"7,555",647,166,8.6,2.1
West Virginia,"1,762",279,35,15.9,2.0
Wisconsin,"5,795",499,89,8.6,1.5
Wyoming,565,53,10,9.5,1.8
2017 (3),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,801",735,95,15.3,2.1
Alaska,719,87,20,12.1,2.6
Arizona,"6,981",951,171,13.6,2.5
Arkansas,"2,921",436,54,14.9,1.8
California,"39,250","4,759",299,12.1,0.8
Colorado,"5,527",489,84,8.9,1.5
Connecticut,"3,553",377,71,10.6,2.0
Delaware,967,85,16,8.8,1.8
District of Columbia,691,96,13,13.9,1.8
Florida,"20,910","2,809",285,13.4,1.3
Georgia,"10,230","1,339",171,13.1,1.6
Hawaii,"1,402",149,28,10.6,2.0
Idaho,"1,730",199,38,11.5,2.3
Illinois,"12,600","1,454",168,11.5,1.3
Indiana,"6,532",762,115,11.7,1.8
Iowa,"3,053",230,54,7.5,1.8
Kansas,"2,868",411,54,14.3,2.0
Kentucky,"4,395",591,125,13.5,3.0
Louisiana,"4,535",931,79,20.5,1.8
Maine,"1,315",163,31,12.4,2.3
Maryland,"5,977",451,95,7.6,1.6
Massachusetts,"6,784",763,117,11.2,1.6
Michigan,"9,895","1,135",145,11.5,1.5
Minnesota,"5,619",479,94,8.5,1.6
Mississippi,"2,948",544,44,18.5,1.5
Missouri,"5,988",683,133,11.4,2.3
Montana,"1,041",107,18,10.3,1.6
Nebraska,"1,878",216,41,11.5,2.1
Nevada,"2,979",392,61,13.2,2.0
New Hampshire,"1,333",95,21,7.2,1.6
New Jersey,"9,015",894,156,9.9,1.8
New Mexico,"2,035",402,46,19.7,2.3
New York,"19,740","2,510",232,12.7,1.2
North Carolina,"10,300","1,567",158,15.2,1.6
North Dakota,740,92,18,12.4,2.5
Ohio,"11,490","1,479",161,12.9,1.5
Oklahoma,"3,817",490,77,12.8,2.0
Oregon,"4,202",482,90,11.5,2.3
Pennsylvania,"12,570","1,373",155,10.9,1.3
Rhode Island,"1,046",118,25,11.3,2.3
South Carolina,"4,955",756,90,15.2,1.8
South Dakota,870,93,25,10.7,2.8
Tennessee,"6,699",759,107,11.3,1.6
Texas,"28,090","3,715",306,13.2,1.2
Utah,"3,130",272,56,8.7,1.8
Vermont,613,53,10,8.6,1.6
Virginia,"8,242",862,117,10.5,1.5
Washington,"7,425",810,123,10.9,1.6
West Virginia,"1,793",306,41,17.1,2.1
Wisconsin,"5,809",537,67,9.2,1.2
Wyoming,560,73,13,13.0,2.3
2017,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,806",723,81,15.0,1.6
Alaska,717,103,23,14.4,3.1
Arizona,"6,990",926,176,13.2,2.5
Arkansas,"2,924",432,46,14.8,1.5
California,"39,240","4,872",308,12.4,0.8
Colorado,"5,527",427,87,7.7,1.6
Connecticut,"3,555",388,69,10.9,2.0
Delaware,967,89,16,9.2,1.6
District of Columbia,692,94,12,13.6,1.8
Florida,"20,890","2,864",288,13.7,1.3
Georgia,"10,230","1,356",169,13.3,1.6
Hawaii,"1,402",144,30,10.3,2.1
Idaho,"1,732",202,33,11.7,2.0
Illinois,"12,600","1,379",173,10.9,1.3
Indiana,"6,533",748,104,11.4,1.6
Iowa,"3,054",278,61,9.1,2.0
Kansas,"2,870",421,61,14.7,2.1
Kentucky,"4,401",633,114,14.4,2.6
Louisiana,"4,538",970,87,21.4,2.0
Maine,"1,317",158,33,12.0,2.5
Maryland,"5,967",467,102,7.8,1.6
Massachusetts,"6,796",724,104,10.6,1.5
Michigan,"9,889","1,259",156,12.7,1.6
Minnesota,"5,619",519,109,9.2,2.0
Mississippi,"2,947",538,67,18.3,2.3
Missouri,"5,979",666,141,11.1,2.3
Montana,"1,039",101,16,9.7,1.5
Nebraska,"1,875",194,38,10.4,2.0
Nevada,"2,982",409,61,13.7,2.0
New Hampshire,"1,334",88,21,6.6,1.5
New Jersey,"9,007",774,135,8.6,1.5
New Mexico,"2,040",380,49,18.6,2.5
New York,"19,730","2,641",247,13.4,1.3
North Carolina,"10,290","1,494",163,14.5,1.6
North Dakota,742,84,16,11.3,2.1
Ohio,"11,500","1,458",168,12.7,1.5
Oklahoma,"3,817",482,76,12.6,2.0
Oregon,"4,199",430,99,10.2,2.3
Pennsylvania,"12,570","1,411",151,11.2,1.2
Rhode Island,"1,045",127,25,12.2,2.5
South Carolina,"4,959",773,92,15.6,1.8
South Dakota,871,91,20,10.4,2.3
Tennessee,"6,699",769,90,11.5,1.3
Texas,"28,080","3,768",298,13.4,1.0
Utah,"3,127",269,56,8.6,1.8
Vermont,613,63,13,10.2,2.1
Virginia,"8,249",847,127,10.3,1.5
Washington,"7,431",736,104,9.9,1.5
West Virginia,"1,794",311,46,17.3,2.5
Wisconsin,"5,808",551,71,9.5,1.2
Wyoming,560,70,13,12.4,2.3
2016,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,821",782,104,16.2,2.1
Alaska,708,89,20,12.6,2.8
Arizona,"6,878","1,108",130,16.1,1.8
Arkansas,"2,941",471,46,16.0,1.5
California,"39,140","5,435",288,13.9,0.7
Colorado,"5,502",467,84,8.5,1.5
Connecticut,"3,567",351,74,9.8,2.1
Delaware,947,110,20,11.6,2.1
District of Columbia,685,112,12,16.3,1.6
Florida,"20,520","2,659",206,13.0,1.0
Georgia,"10,270","1,580",191,15.4,1.8
Hawaii,"1,392",129,28,9.3,2.0
Idaho,"1,679",187,28,11.1,1.6
Illinois,"12,580","1,517",168,12.1,1.3
Indiana,"6,493",768,110,11.8,1.6
Iowa,"3,099",302,48,9.8,1.5
Kansas,"2,859",321,54,11.2,2.0
Kentucky,"4,383",667,94,15.2,2.1
Louisiana,"4,573",923,76,20.2,1.6
Maine,"1,317",167,31,12.7,2.3
Maryland,"5,930",424,89,7.1,1.5
Massachusetts,"6,775",649,92,9.6,1.3
Michigan,"9,875","1,091",135,11.1,1.3
Minnesota,"5,430",470,81,8.7,1.5
Mississippi,"2,943",622,76,21.1,2.5
Missouri,"5,878",762,120,13.0,2.0
Montana,"1,031",121,16,11.7,1.6
Nebraska,"1,870",179,43,9.6,2.3
Nevada,"2,941",298,63,10.1,2.1
New Hampshire,"1,316",84,18,6.4,1.3
New Jersey,"8,836",828,135,9.4,1.5
New Mexico,"2,043",364,54,17.8,2.6
New York,"19,460","2,314",240,11.9,1.2
North Carolina,"10,060","1,363",173,13.6,1.6
North Dakota,749,83,15,11.1,2.0
Ohio,"11,440","1,573",179,13.7,1.5
Oklahoma,"3,911",571,120,14.6,3.1
Oregon,"4,124",486,81,11.8,2.0
Pennsylvania,"12,530","1,396",165,11.1,1.3
Rhode Island,"1,052",119,25,11.4,2.3
South Carolina,"4,898",690,99,14.1,2.0
South Dakota,855,124,21,14.5,2.5
Tennessee,"6,652",988,143,14.9,2.1
Texas,"27,660","3,812",273,13.8,1.0
Utah,"3,077",264,49,8.6,1.6
Vermont,622,60,10,9.6,1.6
Virginia,"8,163",929,137,11.4,1.6
Washington,"7,289",800,99,11.0,1.3
West Virginia,"1,808",326,51,18.0,2.8
Wisconsin,"5,764",620,84,10.7,1.5
Wyoming,571,62,12,10.9,2.0
2015,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,820",784,99,16.3,2.0
Alaska,703,65,10,9.2,1.5
Arizona,"6,728","1,156",138,17.2,2.1
Arkansas,"2,951",475,44,16.1,1.5
California,"39,080","5,441",347,13.9,0.8
Colorado,"5,420",538,114,9.9,2.1
Connecticut,"3,572",324,71,9.1,2.0
Delaware,958,106,20,11.1,2.0
District of Columbia,676,113,13,16.6,2.0
Florida,"20,070","3,253",290,16.2,1.5
Georgia,"10,100","1,833",183,18.1,1.8
Hawaii,"1,382",151,26,10.9,1.8
Idaho,"1,657",204,35,12.3,2.1
Illinois,"12,680","1,380",171,10.9,1.3
Indiana,"6,502",880,118,13.5,1.8
Iowa,"3,100",321,64,10.4,2.1
Kansas,"2,849",404,69,14.2,2.5
Kentucky,"4,365",851,94,19.5,2.1
Louisiana,"4,599",854,94,18.6,2.0
Maine,"1,340",165,33,12.3,2.5
Maryland,"5,892",566,115,9.6,2.0
Massachusetts,"6,777",782,107,11.5,1.6
Michigan,"9,852","1,259",161,12.8,1.6
Minnesota,"5,458",428,95,7.8,1.8
Mississippi,"2,947",563,54,19.1,1.8
Missouri,"5,946",582,117,9.8,2.0
Montana,"1,018",121,20,11.9,2.0
Nebraska,"1,858",192,30,10.3,1.6
Nevada,"2,864",371,59,13.0,2.1
New Hampshire,"1,293",94,21,7.3,1.6
New Jersey,"8,936","1,004",156,11.2,1.8
New Mexico,"2,036",400,46,19.7,2.3
New York,"19,650","2,791",257,14.2,1.3
North Carolina,"9,887","1,509",156,15.3,1.6
North Dakota,763,82,20,10.7,2.5
Ohio,"11,440","1,550",173,13.6,1.5
Oklahoma,"3,887",551,74,14.2,1.8
Oregon,"4,029",478,114,11.9,2.8
Pennsylvania,"12,560","1,542",176,12.3,1.5
Rhode Island,"1,044",123,26,11.8,2.5
South Carolina,"4,790",683,92,14.3,2.0
South Dakota,848,118,16,13.9,2.0
Tennessee,"6,605",973,115,14.7,1.8
Texas,"27,400","4,036",341,14.7,1.3
Utah,"3,004",279,49,9.3,1.6
Vermont,609,65,13,10.7,2.1
Virginia,"8,216",894,133,10.9,1.6
Washington,"7,193",819,89,11.4,1.3
West Virginia,"1,795",261,76,14.5,4.3
Wisconsin,"5,736",654,112,11.4,2.0
Wyoming,574,56,13,9.8,2.3
2014,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,765",848,87,17.8,1.8
Alaska,694,82,13,11.9,2.0
Arizona,"6,657","1,409",125,21.2,1.8
Arkansas,"2,891",532,72,18.4,2.5
California,"38,670","6,112",359,15.8,1.0
Colorado,"5,376",661,118,12.3,2.1
Connecticut,"3,577",308,72,8.6,2.0
Delaware,929,103,16,11.0,1.6
District of Columbia,657,125,15,19.0,2.1
Florida,"19,690","3,282",247,16.7,1.3
Georgia,"9,948","1,676",151,16.8,1.5
Hawaii,"1,365",147,26,10.8,1.8
Idaho,"1,606",199,36,12.4,2.3
Illinois,"12,770","1,756",183,13.7,1.5
Indiana,"6,470",948,140,14.6,2.1
Iowa,"3,078",317,54,10.3,1.8
Kansas,"2,851",345,51,12.1,1.8
Kentucky,"4,299",861,114,20.0,2.6
Louisiana,"4,550","1,049",87,23.1,2.0
Maine,"1,300",190,33,14.6,2.5
Maryland,"5,934",584,90,9.8,1.5
Massachusetts,"6,653",902,117,13.6,1.8
Michigan,"9,893","1,462",148,14.8,1.5
Minnesota,"5,417",447,87,8.3,1.6
Mississippi,"2,961",654,61,22.1,2.0
Missouri,"5,950",620,89,10.4,1.5
Montana,"1,008",121,21,12.0,2.1
Nebraska,"1,873",221,38,11.8,2.0
Nevada,"2,819",478,74,17.0,2.6
New Hampshire,"1,318",95,18,7.2,1.3
New Jersey,"8,938","1,013",148,11.3,1.6
New Mexico,"2,030",406,54,20.0,2.6
New York,"19,660","2,755",237,14.0,1.2
North Carolina,"9,823","1,678",192,17.1,2.0
North Dakota,731,71,8,9.7,1.2
Ohio,"11,510","1,792",179,15.6,1.5
Oklahoma,"3,728",647,84,17.3,2.3
Oregon,"3,955",570,77,14.4,2.0
Pennsylvania,"12,620","1,581",171,12.5,1.3
Rhode Island,"1,046",119,23,11.3,2.1
South Carolina,"4,764",788,84,16.5,1.8
South Dakota,846,109,23,12.8,2.8
Tennessee,"6,496","1,122",123,17.3,2.0
Texas,"26,680","4,364",285,16.4,1.0
Utah,"2,928",298,59,10.2,2.0
Vermont,615,57,10,9.3,1.5
Virginia,"8,257",842,120,10.2,1.5
Washington,"7,079",852,135,12.0,2.0
West Virginia,"1,822",376,49,20.6,2.8
Wisconsin,"5,742",628,90,10.9,1.6
Wyoming,572,55,10,9.7,1.8
2013 (4),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,807",891,155,18.5,3.3
Alaska,696,67,25,9.7,3.5
Arizona,"6,532","1,163",265,17.8,4.1
Arkansas,"2,852",395,76,13.9,2.6
